STATE,COUNTY,CD109
01,001,02
01,003,01
01,005,02
01,007,06
01,009,04
01,011,02
01,013,02
01,015,03
01,017,03
01,019,03
01,021,06
01,023,07
01,025,01
01,025,07
01,027,03
01,029,03
01,031,02
01,033,05
01,035,02
01,037,03
01,037,06
01,039,02
01,041,02
01,043,04
01,045,02
01,047,07
01,049,04
01,051,02
01,053,01
01,055,04
01,057,04
01,059,04
01,061,02
01,063,07
01,065,07
01,067,02
01,069,02
01,071,05
01,073,06
01,073,07
01,075,04
01,077,05
01,079,05
01,081,03
01,083,05
01,085,02
01,087,03
01,089,05
01,091,07
01,093,04
01,095,04
01,097,01
01,099,01
01,101,02
01,101,03
01,103,04
01,103,05
01,105,07
01,107,04
01,107,07
01,109,02
01,111,03
01,113,03
01,115,04
01,115,06
01,117,06
01,119,07
01,121,03
01,123,03
01,125,06
01,125,07
01,127,04
01,129,01
01,131,07
01,133,04
02,013,00
02,016,00
02,020,00
02,050,00
02,060,00
02,068,00
02,070,00
02,090,00
02,100,00
02,110,00
02,122,00
02,130,00
02,150,00
02,164,00
02,170,00
02,180,00
02,185,00
02,188,00
02,201,00
02,220,00
02,232,00
02,240,00
02,261,00
02,270,00
02,280,00
02,282,00
02,290,00
04,001,01
04,003,08
04,005,01
04,005,02
04,007,01
04,009,01
04,011,01
04,012,02
04,012,07
04,013,02
04,013,03
04,013,04
04,013,05
04,013,06
04,013,07
04,015,02
04,017,01
04,017,02
04,019,07
04,019,08
04,021,01
04,021,06
04,021,07
04,021,08
04,023,07
04,023,08
04,025,01
04,025,02
04,027,07
05,001,01
05,003,04
05,005,01
05,007,03
05,009,03
05,011,04
05,013,04
05,015,03
05,017,04
05,019,04
05,021,01
05,023,01
05,025,04
05,027,04
05,029,02
05,031,01
05,033,03
05,035,01
05,037,01
05,039,04
05,041,04
05,043,04
05,045,02
05,047,03
05,049,01
05,051,04
05,053,04
05,055,01
05,057,04
05,059,04
05,061,04
05,063,01
05,065,01
05,067,01
05,069,04
05,071,03
05,073,04
05,075,01
05,077,01
05,079,04
05,081,04
05,083,04
05,085,01
05,087,03
05,089,03
05,091,04
05,093,01
05,095,01
05,097,04
05,099,04
05,101,03
05,103,04
05,105,02
05,107,01
05,109,04
05,111,01
05,113,04
05,115,03
05,117,01
05,119,02
05,121,01
05,123,01
05,125,02
05,127,04
05,129,01
05,131,03
05,133,04
05,135,01
05,137,01
05,139,04
05,141,02
05,143,03
05,145,02
05,147,01
05,149,02
06,001,09
06,001,10
06,001,11
06,001,13
06,003,03
06,005,03
06,007,02
06,007,04
06,009,03
06,011,02
06,013,07
06,013,10
06,013,11
06,015,01
06,017,04
06,019,18
06,019,19
06,019,20
06,019,21
06,021,02
06,023,01
06,025,51
06,027,25
06,029,20
06,029,22
06,031,20
06,033,01
06,035,04
06,037,22
06,037,25
06,037,26
06,037,27
06,037,28
06,037,29
06,037,30
06,037,31
06,037,32
06,037,33
06,037,34
06,037,35
06,037,36
06,037,37
06,037,38
06,037,39
06,037,42
06,037,46
06,039,18
06,039,19
06,041,06
06,043,19
06,045,01
06,047,18
06,049,04
06,051,25
06,053,17
06,055,01
06,057,04
