"Labor Force Data by County, 2005 Annual Averages",,,,,,,,
,,,,,,,,
,State,County,,,,,,Unemploy-
LAUS,FIPS,FIPS,,,Labor,,,ment Rate
Code,Code,Code,Year,,Force,Employed,Unemployed,(%)
,,,,,,,,
CN0100100000000,01,001,2005,,"23,949     ","23,037     ",912     ,3.8     
CN0100300000000,01,003,2005,,"76,804     ","73,743     ","3,061     ",4.0     
CN0100500000000,01,005,2005,,"10,760     ","10,136     ",624     ,5.8     
CN0100700000000,01,007,2005,,"8,861     ","8,463     ",398     ,4.5     
CN0100900000000,01,009,2005,,"26,446     ","25,491     ",955     ,3.6     
CN0101100000000,01,011,2005,,"3,747     ","3,391     ",356     ,9.5     
CN0101300000000,01,013,2005,,"9,139     ","8,547     ",592     ,6.5     
CN0101500000000,01,015,2005,,"53,955     ","51,524     ","2,431     ",4.5     
CN0101700000000,01,017,2005,,"16,353     ","15,413     ",940     ,5.7     
CN0101900000000,01,019,2005,,"12,044     ","11,519     ",525     ,4.4     
CN0102100000000,01,021,2005,,"19,674     ","18,901     ",773     ,3.9     
CN0102300000000,01,023,2005,,"5,300     ","4,951     ",349     ,6.6     
CN0102500000000,01,025,2005,,"10,126     ","9,478     ",648     ,6.4     
CN0102700000000,01,027,2005,,"5,950     ","5,655     ",295     ,5.0     
CN0102900000000,01,029,2005,,"6,659     ","6,396     ",263     ,3.9     
CN0103100000000,01,031,2005,,"20,104     ","19,320     ",784     ,3.9     
CN0103300000000,01,033,2005,,"24,960     ","23,610     ","1,350     ",5.4     
CN0103500000000,01,035,2005,,"5,188     ","4,866     ",322     ,6.2     
CN0103700000000,01,037,2005,,"4,892     ","4,645     ",247     ,5.0     
CN0103900000000,01,039,2005,,"16,933     ","16,167     ",766     ,4.5     
CN0104100000000,01,041,2005,,"6,186     ","5,882     ",304     ,4.9     
CN0104300000000,01,043,2005,,"38,494     ","36,946     ","1,548     ",4.0     
CN0104500000000,01,045,2005,,"20,168     ","19,269     ",899     ,4.5     
CN0104700000000,01,047,2005,,"16,007     ","14,636     ","1,371     ",8.6     
CN0104900000000,01,049,2005,,"31,239     ","29,648     ","1,591     ",5.1     
CN0105100000000,01,051,2005,,"34,448     ","33,157     ","1,291     ",3.7     
CN0105300000000,01,053,2005,,"14,329     ","13,530     ",799     ,5.6     
CN0105500000000,01,055,2005,,"46,762     ","44,542     ","2,220     ",4.7     
CN0105700000000,01,057,2005,,"7,886     ","7,533     ",353     ,4.5     
CN0105900000000,01,059,2005,,"13,789     ","13,059     ",730     ,5.3     
CN0106100000000,01,061,2005,,"11,628     ","11,174     ",454     ,3.9     
CN0106300000000,01,063,2005,,"3,456     ","3,225     ",231     ,6.7     
CN0106500000000,01,065,2005,,"7,053     ","6,669     ",384     ,5.4     
CN0106700000000,01,067,2005,,"7,469     ","7,146     ",323     ,4.3     
CN0106900000000,01,069,2005,,"46,102     ","44,334     ","1,768     ",3.8     
CN0107100000000,01,071,2005,,"26,776     ","25,427     ","1,349     ",5.0     
CN0107300000000,01,073,2005,,"317,359     ","303,260     ","14,099     ",4.4     
CN0107500000000,01,075,2005,,"6,132     ","5,788     ",344     ,5.6     
CN0107700000000,01,077,2005,,"42,063     ","39,905     ","2,158     ",5.1     
CN0107900000000,01,079,2005,,"15,979     ","15,087     ",892     ,5.6     
CN0108100000000,01,081,2005,,"63,530     ","61,161     ","2,369     ",3.7     
CN0108300000000,01,083,2005,,"35,123     ","33,561     ","1,562     ",4.4     
CN0108500000000,01,085,2005,,"4,952     ","4,554     ",398     ,8.0     
CN0108700000000,01,087,2005,,"8,705     ","8,191     ",514     ,5.9     
CN0108900000000,01,089,2005,,"158,767     ","153,075     ","5,692     ",3.6     
CN0109100000000,01,091,2005,,"8,603     ","8,109     ",494     ,5.7     
CN0109300000000,01,093,2005,,"13,536     ","12,929     ",607     ,4.5     
CN0109500000000,01,095,2005,,"41,954     ","40,314     ","1,640     ",3.9     
CN0109700000000,01,097,2005,,"180,384     ","171,439     ","8,945     ",5.0     
CN0109900000000,01,099,2005,,"9,587     ","8,996     ",591     ,6.2     
CN0110100000000,01,101,2005,,"105,148     ","100,336     ","4,812     ",4.6     
CN0110300000000,01,103,2005,,"55,700     ","53,187     ","2,513     ",4.5     
CN0110500000000,01,105,2005,,"3,537     ","3,215     ",322     ,9.1     
CN0110700000000,01,107,2005,,"7,960     ","7,527     ",433     ,5.4     
CN0110900000000,01,109,2005,,"15,013     ","14,401     ",612     ,4.1     
CN0111100000000,01,111,2005,,"9,823     ","9,218     ",605     ,6.2     
CN0111300000000,01,113,2005,,"21,501     ","20,203     ","1,298     ",6.0     
CN0111500000000,01,115,2005,,"33,750     ","32,407     ","1,343     ",4.0     
CN0111700000000,01,117,2005,,"94,699     ","91,783     ","2,916     ",3.1     
CN0111900000000,01,119,2005,,"4,865     ","4,512     ",353     ,7.3     
CN0112100000000,01,121,2005,,"39,684     ","37,777     ","1,907     ",4.8     
CN0112300000000,01,123,2005,,"18,587     ","17,748     ",839     ,4.5     
CN0112500000000,01,125,2005,,"84,810     ","81,638     ","3,172     ",3.7     
CN0112700000000,01,127,2005,,"29,772     ","28,455     ","1,317     ",4.4     
CN0112900000000,01,129,2005,,"6,887     ","6,458     ",429     ,6.2     
CN0113100000000,01,131,2005,,"3,626     ","3,290     ",336     ,9.3     
CN0113300000000,01,133,2005,,"10,365     ","9,840     ",525     ,5.1     
CN0201300000000,02,013,2005,,"1,077     ",974     ,103     ,9.6     
CN0201600000000,02,016,2005,,"3,143     ","2,963     ",180     ,5.7     
CN0202000000000,02,020,2005,,"149,028     ","140,840     ","8,188     ",5.5     
CN0205000000000,02,050,2005,,"7,089     ","6,182     ",907     ,12.8     
CN0206000000000,02,060,2005,,971     ,914     ,57     ,5.9     
CN0206800000000,02,068,2005,,"1,590     ","1,486     ",104     ,6.5     
CN0207000000000,02,070,2005,,"2,062     ","1,842     ",220     ,10.7     
CN0209000000000,02,090,2005,,"45,247     ","42,606     ","2,641     ",5.8     
CN0210000000000,02,100,2005,,"1,472     ","1,340     ",132     ,9.0     
CN0211000000000,02,110,2005,,"18,349     ","17,370     ",979     ,5.3     
CN0212200000000,02,122,2005,,"25,321     ","23,105     ","2,216     ",8.8     
CN0213000000000,02,130,2005,,"7,966     ","7,430     ",536     ,6.7     
CN0215000000000,02,150,2005,,"6,056     ","5,556     ",500     ,8.3     
CN0215800000000,02,158,2005,,"2,542     ","2,011     ",531     ,20.9     
CN0216400000000,02,164,2005,,"1,040     ",964     ,76     ,7.3     
CN0217000000000,02,170,2005,,"36,728     ","33,928     ","2,800     ",7.6     
CN0218000000000,02,180,2005,,"3,979     ","3,486     ",493     ,12.4     
CN0218500000000,02,185,2005,,"3,719     ","3,384     ",335     ,9.0     
CN0218800000000,02,188,2005,,"3,062     ","2,698     ",364     ,11.9     
CN0220100000000,02,201,2005,,"2,568     ","2,232     ",336     ,13.1     
CN0222000000000,02,220,2005,,"4,745     ","4,481     ",264     ,5.6     
CN0223200000000,02,232,2005,,"1,846     ","1,601     ",245     ,13.3     
CN0224000000000,02,240,2005,,"3,310     ","2,963     ",347     ,10.5     
CN0226100000000,02,261,2005,,"5,264     ","4,764     ",500     ,9.5     
CN0228000000000,02,280,2005,,"2,931     ","2,635     ",296     ,10.1     
CN0228200000000,02,282,2005,,320     ,286     ,34     ,10.6     
CN0229000000000,02,290,2005,,"3,139     ","2,772     ",367     ,11.7     
CN0400100000000,04,001,2005,,"20,054     ","17,952     ","2,102     ",10.5     
